epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8564,0.60025,1.23421,0.67738,1.09832,0,0.94663,0.91756,0.96098,0.81023,0.93858,0.90988,0.95202,0.7017,0.55285,1.35593,0.47293,1.09467,0,3.31288e-05,3.31288e-05,0.0669043
2,39.6448,0.5068,0.9137,0.41041,1.02921,0,0.96536,0.93605,0.97977,0.87669,0.9685,0.93873,0.98142,0.79577,0.47275,1.03425,0.34729,1.01269,0,6.61332e-05,6.61332e-05,0.033604
3,59.2356,0.4938,0.86839,0.40043,1.01985,0,0.9719,0.95035,0.98537,0.87725,0.97492,0.94955,0.98623,0.84095,0.45859,0.89642,0.32676,0.98211,0,9.88075e-05,9.88075e-05,0.000303307
4,78.8256,0.47962,0.81237,0.37593,1.00627,0,0.97019,0.94403,0.98415,0.87901,0.97333,0.94708,0.98901,0.84411,0.4709,0.87845,0.33168,1.00159,0,9.8515e-05,9.8515e-05,9.8515e-05
5,98.9406,0.48074,0.81682,0.37466,1.00103,0,0.97024,0.96031,0.9883,0.89178,0.96715,0.95725,0.98699,0.86202,0.44909,0.82504,0.31189,1.00371,0,9.802e-05,9.802e-05,9.802e-05
6,119.816,0.45955,0.80496,0.35176,0.99653,0,0.97138,0.96336,0.98871,0.89411,0.97446,0.96641,0.98907,0.86308,0.4539,0.82244,0.31195,0.98855,0,9.7525e-05,9.7525e-05,9.7525e-05
7,139.615,0.45958,0.78208,0.34668,0.99188,0,0.97912,0.94504,0.9886,0.89078,0.98306,0.94656,0.98636,0.8562,0.44941,0.79139,0.31566,1.00601,0,9.703e-05,9.703e-05,9.703e-05
8,159.033,0.45724,0.79759,0.3499,0.99618,0,0.96774,0.9618,0.98972,0.88728,0.96618,0.95967,0.98775,0.84563,0.45663,0.88457,0.30611,1.01336,0,9.6535e-05,9.6535e-05,9.6535e-05
9,178.529,0.45399,0.77664,0.33232,0.98993,0,0.99139,0.94504,0.989,0.89397,0.99139,0.94504,0.9895,0.8517,0.44552,0.85697,0.30302,1.00187,0,9.604e-05,9.604e-05,9.604e-05
10,197.763,0.45034,0.76881,0.32882,0.98423,0,0.97491,0.94924,0.98822,0.89033,0.97802,0.95122,0.98936,0.85865,0.44243,0.80022,0.31041,0.99316,0,9.5545e-05,9.5545e-05,9.5545e-05
11,217.066,0.43542,0.74715,0.31945,0.97641,0,0.97811,0.95878,0.99046,0.89731,0.97811,0.95878,0.99066,0.8663,0.43298,0.77706,0.29894,0.99458,0,9.505e-05,9.505e-05,9.505e-05
12,236.82,0.45023,0.74251,0.32787,0.98287,0,0.97572,0.95115,0.98642,0.89875,0.97728,0.95267,0.98639,0.86537,0.43272,0.79413,0.31213,1.00084,0,9.4555e-05,9.4555e-05,9.4555e-05
13,256.641,0.42403,0.71912,0.31085,0.97076,0,0.96361,0.97026,0.99093,0.89892,0.96361,0.97026,0.99093,0.86348,0.43398,0.79877,0.29501,1.01215,0,9.406e-05,9.406e-05,9.406e-05
14,276.094,0.4271,0.71444,0.30971,0.97581,0,0.96085,0.96183,0.98773,0.89646,0.96238,0.96336,0.98824,0.86507,0.42405,0.79501,0.28554,0.99052,0,9.3565e-05,9.3565e-05,9.3565e-05
15,295.79,0.42399,0.701,0.3031,0.9649,0,0.97664,0.95753,0.99132,0.89944,0.97508,0.956,0.99041,0.85322,0.42279,0.84312,0.28308,0.98598,0,9.307e-05,9.307e-05,9.307e-05
16,315.111,0.43333,0.70356,0.30305,0.96957,0,0.96782,0.96438,0.99152,0.89796,0.97089,0.96743,0.99187,0.86189,0.43347,0.80414,0.28019,0.98914,0,9.2575e-05,9.2575e-05,9.2575e-05
17,334.561,0.42447,0.69114,0.30566,0.96332,0,0.98299,0.97036,0.99144,0.88679,0.98299,0.97036,0.99144,0.85777,0.46503,0.82658,0.28342,1.01156,0,9.208e-05,9.208e-05,9.208e-05
18,354.004,0.42802,0.70841,0.30786,0.96407,0,0.98119,0.9556,0.98884,0.89381,0.97842,0.96489,0.9892,0.85886,0.43255,0.78511,0.28354,1.00563,0,9.1585e-05,9.1585e-05,9.1585e-05
19,373.262,0.41218,0.68675,0.30007,0.96304,0,0.97982,0.96367,0.98992,0.89448,0.97982,0.96367,0.98668,0.86447,0.42938,0.79442,0.27748,0.99847,0,9.109e-05,9.109e-05,9.109e-05
20,392.653,0.40856,0.68077,0.29166,0.95511,0,0.98454,0.95878,0.99199,0.89756,0.98454,0.95878,0.99182,0.86486,0.43509,0.7914,0.27247,1.00724,0,9.0595e-05,9.0595e-05,9.0595e-05
21,412.178,0.39896,0.66295,0.28863,0.94629,0,0.96648,0.96947,0.99086,0.89901,0.97105,0.96947,0.99123,0.86483,0.42366,0.79145,0.26972,0.99135,0,9.01e-05,9.01e-05,9.01e-05
22,431.636,0.39435,0.65582,0.27999,0.94971,0,0.96837,0.95573,0.99012,0.89799,0.97103,0.95878,0.99085,0.87126,0.43855,0.76207,0.29334,1.02241,0,8.9605e-05,8.9605e-05,8.9605e-05
23,451.57,0.40182,0.66351,0.29194,0.95195,0,0.97816,0.96641,0.99198,0.90498,0.97816,0.96641,0.99233,0.87597,0.4094,0.76854,0.2749,0.98901,0,8.911e-05,8.911e-05,8.911e-05
24,471.285,0.40522,0.65703,0.28686,0.94484,0,0.96945,0.96901,0.98944,0.90339,0.96945,0.96901,0.98858,0.87039,0.42185,0.79749,0.27459,0.98648,0,8.8615e-05,8.8615e-05,8.8615e-05
25,490.82,0.39856,0.67343,0.28565,0.95214,0,0.97534,0.96632,0.99114,0.90537,0.97689,0.96785,0.9833,0.87632,0.40372,0.77439,0.26694,0.99299,0,8.812e-05,8.812e-05,8.812e-05
26,510.809,0.39907,0.65216,0.27421,0.95362,0,0.98111,0.95146,0.98989,0.89933,0.98111,0.95146,0.98992,0.86442,0.42479,0.80935,0.27106,1.01066,0,8.7625e-05,8.7625e-05,8.7625e-05
27,530.256,0.37806,0.61777,0.27165,0.941,0,0.97365,0.95908,0.98859,0.90229,0.97365,0.95908,0.98862,0.87071,0.40994,0.78253,0.27888,0.99451,0,8.713e-05,8.713e-05,8.713e-05
28,549.795,0.38517,0.65798,0.27186,0.93764,0,0.97974,0.95979,0.99056,0.89586,0.97371,0.96131,0.99055,0.86591,0.42555,0.78462,0.27178,0.99483,0,8.6635e-05,8.6635e-05,8.6635e-05
29,569.815,0.38544,0.6206,0.27036,0.94107,0,0.97667,0.95856,0.98927,0.90263,0.97511,0.95703,0.99059,0.8713,0.41188,0.78396,0.26748,0.99661,0,8.614e-05,8.614e-05,8.614e-05
30,589.732,0.38793,0.64285,0.2761,0.94296,0,0.97486,0.95725,0.98915,0.88912,0.97331,0.95573,0.98744,0.86064,0.41888,0.83673,0.27043,0.99341,0,8.5645e-05,8.5645e-05,8.5645e-05
31,609.322,0.37374,0.60911,0.26982,0.93387,0,0.98337,0.95725,0.98869,0.90252,0.98273,0.95557,0.99069,0.8708,0.4129,0.82679,0.27133,1.00719,0,8.515e-05,8.515e-05,8.515e-05
32,628.87,0.38307,0.62576,0.26402,0.93762,0,0.98291,0.96031,0.99155,0.89957,0.9857,0.95573,0.99089,0.86269,0.41611,0.81387,0.26748,0.98189,0,8.4655e-05,8.4655e-05,8.4655e-05
33,648.451,0.37948,0.63897,0.26801,0.94705,0,0.97945,0.9458,0.9875,0.90012,0.96473,0.96038,0.98671,0.87595,0.42107,0.76951,0.27453,1.01254,0,8.416e-05,8.416e-05,8.416e-05
34,668.303,0.37667,0.63707,0.26295,0.9363,0,0.96878,0.96947,0.99193,0.90499,0.97183,0.97252,0.99271,0.87424,0.4124,0.76126,0.26878,1.01288,0,8.3665e-05,8.3665e-05,8.3665e-05
35,688.097,0.39407,0.64485,0.26907,0.94587,0,0.95662,0.97632,0.99135,0.90392,0.9669,0.96183,0.99103,0.87055,0.41702,0.79476,0.26712,1.00636,0,8.317e-05,8.317e-05,8.317e-05
36,707.935,0.37898,0.63543,0.27076,0.93718,0,0.97512,0.95749,0.99104,0.8972,0.97513,0.95782,0.99112,0.87043,0.41559,0.81,0.26208,0.98074,0,8.2675e-05,8.2675e-05,8.2675e-05
37,727.641,0.37303,0.60944,0.25699,0.93651,0,0.97513,0.96183,0.99059,0.89373,0.97977,0.96641,0.99206,0.86893,0.44197,0.78222,0.29343,1.03281,0,8.218e-05,8.218e-05,8.218e-05
38,747.357,0.36442,0.58804,0.25601,0.9319,0,0.97598,0.96489,0.99078,0.89554,0.97444,0.96336,0.99037,0.86773,0.42536,0.82398,0.27237,1.01651,0,8.1685e-05,8.1685e-05,8.1685e-05
39,767.013,0.3764,0.61269,0.25695,0.92836,0,0.96503,0.96907,0.99163,0.90099,0.96503,0.96907,0.99114,0.86987,0.41611,0.78716,0.25933,1.00232,0,8.119e-05,8.119e-05,8.119e-05
40,786.611,0.37106,0.61292,0.26094,0.92072,0,0.97359,0.95662,0.98847,0.89853,0.97359,0.95662,0.98784,0.8763,0.42007,0.80139,0.27332,1.00302,0,8.0695e-05,8.0695e-05,8.0695e-05
41,806.334,0.38507,0.62188,0.26931,0.93858,0,0.9741,0.96489,0.99085,0.90494,0.97256,0.96336,0.99095,0.8721,0.40654,0.79489,0.25766,0.97893,0,8.02e-05,8.02e-05,8.02e-05
42,825.864,0.36158,0.58457,0.25457,0.92124,0,0.97618,0.96336,0.99044,0.90119,0.97365,0.96183,0.99018,0.86777,0.4159,0.87397,0.26914,0.98469,0,7.9705e-05,7.9705e-05,7.9705e-05
43,845.868,0.37207,0.60882,0.26273,0.92781,0,0.97801,0.95078,0.98908,0.89841,0.97487,0.9475,0.98887,0.86871,0.41342,0.77234,0.27309,0.99074,0,7.921e-05,7.921e-05,7.921e-05
44,865.837,0.37007,0.59605,0.25376,0.9289,0,0.97998,0.97155,0.99176,0.90482,0.98152,0.97308,0.99243,0.8688,0.42584,0.77896,0.26038,1.00402,0,7.8715e-05,7.8715e-05,7.8715e-05
45,885.788,0.36238,0.58969,0.24735,0.92199,0,0.9803,0.96183,0.98998,0.90624,0.97966,0.96183,0.98977,0.87169,0.40647,0.81731,0.25731,0.98885,0,7.822e-05,7.822e-05,7.822e-05
46,905.526,0.35592,0.58755,0.24685,0.91553,0,0.97645,0.97252,0.99153,0.90766,0.97645,0.97252,0.99153,0.86821,0.39994,0.7942,0.25514,0.99674,0,7.7725e-05,7.7725e-05,7.7725e-05
47,925.131,0.34879,0.57161,0.2426,0.91528,0,0.98013,0.96641,0.99166,0.90103,0.97531,0.96502,0.98979,0.86826,0.40011,0.79647,0.24935,0.98197,0,7.723e-05,7.723e-05,7.723e-05
48,944.784,0.36651,0.6053,0.25147,0.92449,0,0.95955,0.97794,0.99006,0.9074,0.96105,0.97946,0.98945,0.87036,0.40268,0.79362,0.25422,0.97262,0,7.6735e-05,7.6735e-05,7.6735e-05
49,964.544,0.3484,0.57715,0.23853,0.91489,0,0.96964,0.96947,0.99029,0.90231,0.96964,0.96947,0.98985,0.87569,0.40612,0.75534,0.26031,0.97194,0,7.624e-05,7.624e-05,7.624e-05
50,984.348,0.34432,0.55932,0.24485,0.91078,0,0.97695,0.9542,0.9901,0.90196,0.98206,0.95115,0.99124,0.86814,0.41048,0.81293,0.26797,0.99253,0,7.5745e-05,7.5745e-05,7.5745e-05
51,1004.18,0.35204,0.56349,0.2406,0.9154,0,0.97228,0.96395,0.98975,0.90671,0.97419,0.96794,0.98982,0.87017,0.39586,0.8396,0.25047,1.00352,0,7.525e-05,7.525e-05,7.525e-05
52,1023.9,0.35418,0.57546,0.24986,0.927,0,0.98297,0.96936,0.99263,0.90512,0.98297,0.96936,0.99263,0.86941,0.40605,0.84687,0.24673,1.01411,0,7.4755e-05,7.4755e-05,7.4755e-05
53,1043.59,0.34831,0.56215,0.2385,0.91746,0,0.96962,0.97439,0.99266,0.8999,0.96962,0.97439,0.99268,0.87345,0.40902,0.78407,0.25124,0.99909,0,7.426e-05,7.426e-05,7.426e-05
54,1063.25,0.34301,0.56519,0.23887,0.90826,0,0.97512,0.9573,0.989,0.90278,0.97667,0.95883,0.9894,0.87556,0.4108,0.82576,0.26108,0.97973,0,7.3765e-05,7.3765e-05,7.3765e-05
55,1082.84,0.34821,0.56664,0.23583,0.91069,0,0.96805,0.97128,0.99161,0.90394,0.97243,0.96935,0.9914,0.87324,0.41215,0.78546,0.24873,0.99619,0,7.327e-05,7.327e-05,7.327e-05
